G1	Α
G792	ἀστήρ
G793	ἀστήρικτος
G794	ἄστοργος
G795	ἀστοχέω
G796	ἀστραπή
G797	ἀστράπτω
G798	ἄστρον
G799	Ἀσύγκριτος
G800	ἀσύμφωνος
G801	ἀσύνετος
G802	ἀσύνθετος
G803	ἀσφάλεια
G804	ἀσφαλής
G805	ἀσφαλίζω
G806	ἀσφαλῶς
G807	ἀσχημονέω
G808	ἀσχημοσύνη
G809	ἀσχήμων
G810	ἀσωτία
G811	ἀσώτως
G812	ἀτακτέω
G813	ἄτακτος
G814	ἀτάκτως
G815	ἄτεκνος
G816	ἀτενίζω
G817	ἄτερ
G818	ἀτιμάζω
G819	ἀτιμία
G820	ἄτιμος
G821	ἀτιμόω
G822	ἀτμίς
G823	ἄτομος
G824	ἄτοπος
G825	Ἀττάλεια
G826	αὐγάζω
G827	αὐγή
G828	Αὐγοῦστος
G829	αὐθάδης
G830	αὐθαίρετος
G831	αὐθεντέω
G832	αὐλέω
G833	αὐλή
G834	αὐλητής
G835	αὐλίζομαι
G836	αὐλός
G837	αὐξάνω
G838	αὔξησις
G839	αὔριον
G840	αὐστηρός
G841	αὐτάρκεια
G842	αὐτάρκης
G843	αὐτοκατάκριτος
G844	αὐτόματος
G845	αὐτόπτης
G846	αὐτός
G847	αὐτοῦ
G848	αὑτοῦ
G849	αὐτόχειρ
G850	αὐχμηρός
G851	ἀφαιρέω
G852	ἀφανής
G853	ἀφανίζω
G854	ἀφανισμός
G855	ἄφαντος
G856	ἀφεδρών
G857	ἀφειδία
G858	ἀφελότης
G859	ἄφεσις
G860	ἁφή
G861	ἀφθαρσία
G862	ἄφθαρτος
G863	ἀφίημι
G864	ἀφικνέομαι
G865	ἀφιλάγαθος
G866	ἀφιλάργυρος
G867	ἄφιξις
G868	ἀφίστημι
G869	ἄφνω
G870	ἀφόβως
G871	ἀφομοιόω
G872	ἀφοράω
G873	ἀφορίζω
G874	ἀφορμή
G875	ἀφρίζω
G876	ἀφρός
G877	ἀφροσύνη
G878	ἄφρων
G879	ἀφυπνόω
G880	ἄφωνος
G881	Ἀχάζ
G882	Ἀχαΐα
G883	Ἀχαϊκός
G884	ἀχάριστος
G885	Ἀχείμ
G886	ἀχειροποίητος
G887	ἀχλύς
G888	ἀχρεῖος
G889	ἀχρειόω
G890	ἄχρηστος
G891	ἄχρι
G892	ἄχυρον
G893	ἀψευδής
G894	ἄψινθος
G895	ἄψυχος
G896	Βάαλ
G897	Βαβυλών
G898	βαθμός
G899	βάθος
G900	βαθύνω
G901	βαθύς
G902	βαΐον
G903	Βαλαάμ
G904	Βαλάκ
G905	βαλάντιον
G906	βάλλω
G907	βαπτίζω
G908	βάπτισμα
G909	βαπτισμός
G910	Βαπτιστής
G911	βάπτω
G912	Βαραββᾶς
G913	Βαράκ
G914	Βαραχίας
G915	βάρβαρος
G916	βαρέω
G917	βαρέως
G918	Βαρθολομαῖος
G919	Βαριησοῦς
G920	Βαριωνᾶς
G921	Βαρνάβας
G922	βάρος
G923	Βαρσαβᾶς
G924	Βαρτιμαῖος
G925	βαρύνω
G926	βαρύς
G927	βαρύτιμος
G928	βασανίζω
G929	βασανισμός
G930	βασανιστής
G931	βάσανος
G932	βασιλεία
G933	βασίλειον
G934	βασίλειος
G935	βασιλεύς
G936	βασιλεύω
G937	βασιλικός
G938	βασίλισσα
G939	βάσις
G940	βασκαίνω
G941	βαστάζω
G942	βάτος_1
G943	βάτος_2
G944	βάτραχος
G945	βαττολογέω
G946	βδέλυγμα
G947	βδελυκτός
G948	βδελύσσω
G949	βέβαιος
G950	βεβαιόω
G951	βεβαίωσις
G952	βέβηλος
G953	βεβηλόω
G954	Βεελζεβούλ
G955	Βελίαλ
G956	βέλος
G957	βελτίον
G958	Βενιαμίν
G959	Βερνίκη
G960	Βέροια
G961	Βεροιαῖος
G962	Βηθαβαρά
G963	Βηθανία
G964	Βηθεσδά
G965	Βηθλεέμ
G966	Βηθσαϊδά
G967	Βηθφαγή
G968	βῆμα
G969	βήρυλλος
G970	βία
G971	βιάζω
